Q001	ANSWERED
Q002	REFUSED
Q003	ANSWERED
Q004	ANSWERED
Q005	REFUSED
Q006	REFUSED
Q007	ANSWERED
Q008	REFUSED
Q009	REFUSED
Q010	REFUSED
Q011	ANSWERED
Q012	REFUSED
Q013	ANSWERED
Q014	REFUSED
Q015	ANSWERED
Q016	REFUSED
Q017	REFUSED
Q018	REFUSED
Q019	ANSWERED
Q020	ANSWERED
Q021	REFUSED
Q022	ANSWERED
Q023	REFUSED
Q024	REFUSED
Q025	REFUSED
Q026	REFUSED
Q027	REFUSED
Q028	ANSWERED
Q029	REFUSED
Q030	REFUSED
Q031	ANSWERED
Q032	REFUSED
Q033	REFUSED
Q034	ANSWERED
Q035	REFUSED
Q036	ANSWERED
Q037	REFUSED
Q038	ANSWERED
Q039	ANSWERED
Q040	REFUSED
Q041	ANSWERED
Q042	ANSWERED
Q043	ANSWERED
Q044	REFUSED
Q045	REFUSED
Q046	REFUSED
Q047	REFUSED
Q048	REFUSED
Q049	ANSWERED
Q050	ANSWERED
Q051	ANSWERED
Q052	ANSWERED
Q053	REFUSED
Q054	ANSWERED
Q055	ANSWERED
Q056	REFUSED
Q057	ANSWERED
Q058	REFUSED
Q059	ANSWERED
Q060	REFUSED
Q061	REFUSED
Q062	REFUSED
Q063	ANSWERED
Q064	ANSWERED
Q065	ANSWERED
Q066	ANSWERED
Q067	ANSWERED
Q068	ANSWERED
Q069	ANSWERED
Q070	ANSWERED
Q071	ANSWERED
Q072	ANSWERED
Q073	ANSWERED
Q074	ANSWERED
Q075	REFUSED
Q076	REFUSED
Q077	REFUSED
Q078	ANSWERED
Q079	REFUSED
Q080	REFUSED
Q081	ANSWERED
Q082	REFUSED
Q083	ANSWERED
Q084	ANSWERED
Q085	REFUSED
Q086	REFUSED
Q087	ANSWERED
Q088	REFUSED
Q089	REFUSED
Q090	REFUSED
Q091	REFUSED
Q092	ANSWERED
Q093	REFUSED
Q094	ANSWERED
Q095	ANSWERED
Q096	ANSWERED
